FULLADDRESS,NOTIFICATION,STATUS,AddressType,CompleteStreetAddress,Add_Number,AddNum_Suf,St_PreDir,AbbreviatedPreDirectional,StreetNamePreModifier,StreetNamePreType,StreetNameSeparator,St_Name,St_PosTyp,AbbreviatedPostType,SubaddressType,SubaddressIdentifier,Floor,Building,Post_Code,NOTES,GlobalID,created_user,created_date,last_edited_user,last_edited_date,CompleteAddressNumber,CompleteStreetName,CompleteSubaddress,PlaceStateZip,Post_Comm,StateName,Inc_Muni,Uninc_Comm,x,y,longitude,latitude
3272 NEAMAR DR,,Other,,3272 NEAMAR DRIVE ,3272,,,,,,,NEAMAR,DRIVE,DR,,,,,97527,,{B5916575-6DBC-464C-AD0E-5C79D134A0A3},,,GPGIS,7/1/2024 18:54:44,3272,NEAMAR DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730824.454300001263618,5220557.753399997949600,-123.346094710000003,42.396488329999997
3290 NEAMAR DR,,Other,,3290 NEAMAR DRIVE ,3290,,,,,,,NEAMAR,DRIVE,DR,,,,,97527,,{9303919F-EBBE-4644-8444-8787CE54ED5D},,,GPGIS,7/1/2024 18:54:44,3290,NEAMAR DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730783.044500000774860,5220557.832299999892712,-123.345722719999998,42.396488849999997
3344 NEAMAR DR,,Other,,3344 NEAMAR DRIVE ,3344,,,,,,,NEAMAR,DRIVE,DR,,,,,97527,,{B0C61666-F59D-4C37-BF49-C29FCA89E617},,,GPGIS,7/1/2024 18:54:44,3344,NEAMAR DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730739.591299999505281,5220555.801600001752377,-123.345332369999994,42.396475379999998
300 MORRIS LN,,Other,,300 MORRIS LANE ,300,,,,,,,MORRIS,LANE,LN,,,,,97527,,{405BF0FB-779D-4A7A-B654-5B1D8E7E4FB8},,,GPGIS,7/1/2024 18:54:44,300,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730463.327999999746680,5220484.858199998736382,-123.342850659999996,42.396004740000002
266 MORRIS LN,,Other,,266 MORRIS LANE ,266,,,,,,,MORRIS,LANE,LN,,,,,97527,,{D5F2F4D3-72AC-4555-997B-21D2FFBDAB67},,,GPGIS,7/1/2024 18:54:44,266,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730568.978199999779463,5220413.772799998521805,-123.343799730000001,42.395533149999999
310 MORRIS LN,,Other,,310 MORRIS LANE ,310,,,,,,,MORRIS,LANE,LN,,,,,97527,,{5F5B7491-62CC-4DF1-A9F5-44DC2F0989C6},,,GPGIS,7/1/2024 18:54:44,310,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730459.178399998694658,5220412.318499997258186,-123.342813379999996,42.395523500000003
290 MORRIS LN,,Other,,290 MORRIS LANE ,290,,,,,,,MORRIS,LANE,LN,,,,,97527,,{8A75C0E2-9026-4B6C-868A-27AC06E44BEF},,,GPGIS,7/1/2024 18:54:44,290,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730520.568399999290705,5220409.781900003552437,-123.343364859999994,42.395506670000003
240 MORRIS LN,,Other,,240 MORRIS LANE ,240,,,,,,,MORRIS,LANE,LN,,,,,97527,,{CAD02ABA-A9DE-4B6F-B96C-8DB1F6D6038E},,,GPGIS,7/1/2024 18:54:44,240,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730624.825899999588728,5220405.550599999725819,-123.344301419999994,42.395478599999997
3405 NEAMAR DR,,Other,,3405 NEAMAR DRIVE ,3405,,,,,,,NEAMAR,DRIVE,DR,,,,,97527,,{C288D144-AAFA-4B2E-B6CC-3F70C2B47D15},,,GPGIS,7/1/2024 18:54:44,3405,NEAMAR DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730663.935800001025200,5220403.532899998128414,-123.344652749999995,42.395465219999998
225 MORRIS LN,,Other,,225 MORRIS LANE ,225,,,,,,,MORRIS,LANE,LN,,,,,97527,,{2EC080ED-209C-48A1-886C-2EF23D655B61},,,GPGIS,7/1/2024 18:54:44,225,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730671.939399998635054,5220332.515500001609325,-123.344724639999995,42.394994079999996
235 MORRIS LN,,Other,,235 MORRIS LANE ,235,,,,,,,MORRIS,LANE,LN,,,,,97527,,{E01417B2-E0FD-4067-BCDB-E37A7C144CAF},,,GPGIS,7/1/2024 18:54:44,235,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730635.887499999254942,5220332.555200003087521,-123.344400780000001,42.394994339999997
245 MORRIS LN,,Other,,245 MORRIS LANE ,245,,,,,,,MORRIS,LANE,LN,,,,,97527,,{532C4DD7-AF3E-451C-A3F0-E3267E89263C},,,GPGIS,7/1/2024 18:54:44,245,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730598.830400001257658,5220332.635399997234344,-123.344067890000005,42.394994869999998
265 MORRIS LN,,Other,,265 MORRIS LANE ,265,,,,,,,MORRIS,LANE,LN,,,,,97527,,{BEBEA13F-E773-4DF7-9D93-12650E5A6A72},,,GPGIS,7/1/2024 18:54:44,265,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730559.686200000345707,5220332.683300003409386,-123.343716259999994,42.394995190000003
275 MORRIS LN,,Other,,275 MORRIS LANE ,275,,,,,,,MORRIS,LANE,LN,,,,,97527,,{7AC0AA07-4D23-4285-AC86-F58ACF3C25D0},,,GPGIS,7/1/2024 18:54:44,275,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730520.929099999368191,5220332.743500001728535,-123.343368100000006,42.394995590000001
301 MORRIS LN,,Other,,301 MORRIS LANE ,301,,,,,,,MORRIS,LANE,LN,,,,,97527,,{345C1FCC-7ECB-4C7A-B7E4-3895F273B1AF},,,GPGIS,7/1/2024 18:54:44,301,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730484.645300000905991,5220332.796999998390675,-123.343042150000002,42.394995940000001
3405 WILLIAMS HWY,,Other,,3405 WILLIAMS HIGHWAY ,3405,,,,,,,WILLIAMS,HIGHWAY,HWY,,,,,97527,,{9C5E344D-B438-40C8-BEFA-890DBB209B20},,,GPGIS,7/1/2024 18:54:44,3405,WILLIAMS HIGHWAY,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730841.636199999600649,5220458.861000001430511,-123.346249060000005,42.395832270000000
151 MORRIS LN,,Other,,151 MORRIS LANE ,151,,,,,,,MORRIS,LANE,LN,,,,,97527,,{3C9B5F47-38AF-47BA-802D-51BB480E28A1},,,GPGIS,7/1/2024 18:54:44,151,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730865.384300000965595,5220337.384099997580051,-123.346462389999999,42.395026379999997
155 MORRIS LN,,Other,,155 MORRIS LANE ,155,,,,,,,MORRIS,LANE,LN,,,,,97527,,{B7D24013-7B37-4738-936D-B27B90E5522A},,,GPGIS,7/1/2024 18:54:44,155,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730804.587999999523163,5220337.486299999058247,-123.345916250000002,42.395027050000003
175 MORRIS LN,,Other,,175 MORRIS LANE ,175,,,,,,,MORRIS,LANE,LN,,,,,97527,,{906FCBF1-73BD-4D2B-83A5-289BDE88637A},,,GPGIS,7/1/2024 18:54:44,175,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730749.213899999856949,5220330.590099997818470,-123.345418809999998,42.394981299999998
215 MORRIS LN,,Other,,215 MORRIS LANE ,215,,,,,,,MORRIS,LANE,LN,,,,,97527,,{A4DB8A6B-5F09-44CF-ABDD-9183CBF15FF6},,,GPGIS,7/1/2024 18:54:44,215,MORRIS LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730706.986800000071526,5220332.461599998176098,-123.345039479999997,42.394993720000002
261 ARROYO DR,,Other,,261 ARROYO DRIVE ,261,,,,,,,ARROYO,DRIVE,DR,,,,,97527,,{FF132DAB-A249-4C93-A6B7-BB639A532A55},,,GPGIS,7/1/2024 18:54:44,261,ARROYO DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731287.973400000482798,5220662.823899999260902,-123.350258569999994,42.397185370000003
230 ARROYO DR,,Other,,230 ARROYO DRIVE ,230,,,,,,,ARROYO,DRIVE,DR,,,,,97527,,{A45FB63D-85CE-4FA7-8851-CBDADFB24923},,,GPGIS,7/1/2024 18:54:44,230,ARROYO DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731273.460000000894070,5220582.440300002694130,-123.350128200000000,42.396652099999997
130 ARROYO DR,,Other,,130 ARROYO DRIVE ,130,,,,,,,ARROYO,DRIVE,DR,,,,,97527,,{E54E5E76-024D-49F7-8E25-4145348B3E90},,,GPGIS,7/1/2024 18:54:44,130,ARROYO DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731045.372299998998642,5220578.233800001442432,-123.348079249999998,42.396624199999998
3244 WILLIAMS HWY,,Other,,3244 WILLIAMS HIGHWAY ,3244,,,,,,,WILLIAMS,HIGHWAY,HWY,,,,,97527,,{B905E734-28F2-406B-A3A6-AD1DC7CBC532},,,GPGIS,7/1/2024 18:54:44,3244,WILLIAMS HIGHWAY,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731022.874499998986721,5220652.301399998366833,-123.347877150000002,42.397115560000003
210 ARROYO DR,,Other,,210 ARROYO DRIVE ,210,,,,,,,ARROYO,DRIVE,DR,,,,,97527,,{23CE7A7B-D892-4FEF-AACF-DE6B9109733E},,,GPGIS,7/1/2024 18:54:44,210,ARROYO DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731229.691999999806285,5220583.702299997210503,-123.349735019999997,42.396660470000000
190 ARROYO DR,,Other,,190 ARROYO DRIVE ,190,,,,,,,ARROYO,DRIVE,DR,,,,,97527,,{8D0DCCFB-25CF-4303-9AE9-B5EB7CD7E288},,,GPGIS,7/1/2024 18:54:44,190,ARROYO DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731178.823699999600649,5220589.860100001096725,-123.349278060000003,42.396701329999999
170 ARROYO DR,,Other,,170 ARROYO DRIVE ,170,,,,,,,ARROYO,DRIVE,DR,,,,,97527,,{C0663325-1235-425B-AF3C-5C6E111A8E21},,,GPGIS,7/1/2024 18:54:44,170,ARROYO DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731133.479899998754263,5220592.943999998271465,-123.348870730000002,42.396721780000000
150 ARROYO DR,,Other,,150 ARROYO DRIVE ,150,,,,,,,ARROYO,DRIVE,DR,,,,,97527,,{633F326D-B042-4A0A-B560-1D51A33F34C2},,,GPGIS,7/1/2024 18:54:44,150,ARROYO DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731089.215099999681115,5220585.305299997329712,-123.348473100000007,42.396671110000000
199 ARROYO DR,,Other,,199 ARROYO DRIVE ,199,,,,,,,ARROYO,DRIVE,DR,,,,,97527,,{F5775496-C4E3-417E-9AD3-67F4610BDB8D},,,GPGIS,7/1/2024 18:54:44,199,ARROYO DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731227.197999998927116,5220532.228399999439716,-123.349712620000005,42.396318999999998
183 ARROYO DR,,Other,,183 ARROYO DRIVE ,183,,,,,,,ARROYO,DRIVE,DR,,,,,97527,,{E8A15376-B62E-4361-BC38-D2044C63A56A},,,GPGIS,7/1/2024 18:54:44,183,ARROYO DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731168.611999999731779,5220529.973999999463558,-123.349186329999995,42.396304039999997
167 ARROYO DR,,Other,,167 ARROYO DRIVE ,167,,,,,,,ARROYO,DRIVE,DR,,,,,97527,,{B7AFCB69-1309-4184-812D-94CA2D05B9B7},,,GPGIS,7/1/2024 18:54:44,167,ARROYO DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731143.026399999856949,5220525.625399999320507,-123.348956490000006,42.396275189999997
198 WHISPERING DR,,Other,,198 WHISPERING DRIVE ,198,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{4AB07081-CFA7-4131-8EE9-A58946FC9399},,,GPGIS,7/1/2024 18:54:44,198,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731293.637800000607967,5220508.337899997830391,-123.350309460000005,42.396160500000001
190 WHISPERING DR,,Other,,190 WHISPERING DRIVE ,190,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{F91390D9-8CEF-41C2-966E-A7BEA8C2EEF3},,,GPGIS,7/1/2024 18:54:44,190,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731262.800400000065565,5220512.764899998903275,-123.350032440000007,42.396189870000001
182 WHISPERING DR,,Other,,182 WHISPERING DRIVE ,182,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{5375AD56-9045-462A-BF8F-335364A77824},,,GPGIS,7/1/2024 18:54:44,182,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731234.505499999970198,5220493.720299996435642,-123.349778259999994,42.396063529999999
174 WHISPERING DR,,Other,,174 WHISPERING DRIVE ,174,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{AF39CFC4-511B-4B73-8379-AFC7D6DC7BE5},,,GPGIS,7/1/2024 18:54:44,174,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731181.456700000911951,5220482.964500002563000,-123.349301720000000,42.395992180000000
166 WHISPERING DR,,Other,,166 WHISPERING DRIVE ,166,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{69426987-A4F7-45A1-8221-2DBC8F7888DC},,,GPGIS,7/1/2024 18:54:44,166,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731156.750900000333786,5220473.492700003087521,-123.349079779999997,42.395929340000002
205 WHISPERING DR,,Other,,205 WHISPERING DRIVE ,205,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{D649F062-380A-4F11-9638-6468C3D402BF},,,GPGIS,7/1/2024 18:54:44,205,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731324.411499999463558,5220474.300700001418591,-123.350585899999999,42.395934699999998
197 WHISPERING DR,,Other,,197 WHISPERING DRIVE ,197,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{28EC0FEA-F916-4949-B1FC-83FE0C93B65A},,,GPGIS,7/1/2024 18:54:44,197,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731309.437899999320507,5220457.975000001490116,-123.350451390000003,42.395826390000003
189 WHISPERING DR,,Other,,189 WHISPERING DRIVE ,189,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{9C9D8261-1331-46B6-8024-BAB65821A01F},,,GPGIS,7/1/2024 18:54:44,189,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731277.208999998867512,5220447.787600003182888,-123.350161869999994,42.395758809999997
181 WHISPERING DR,,Other,,181 WHISPERING DRIVE ,181,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{AB875165-2353-421C-8C36-1D06555A7675},,,GPGIS,7/1/2024 18:54:44,181,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731248.338100001215935,5220445.031199999153614,-123.349902520000001,42.395740519999997
173 WHISPERING DR,,Other,,173 WHISPERING DRIVE ,173,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{0BA2307D-91FF-49BC-B521-53A6FC4CF3F2},,,GPGIS,7/1/2024 18:54:44,173,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731209.759199999272823,5220446.218199998140335,-123.349555960000004,42.395748400000002
165 WHISPERING DR,,Other,,165 WHISPERING DRIVE ,165,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{66F81944-F4B8-4130-A719-A17A408D9389},,,GPGIS,7/1/2024 18:54:44,165,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731186.292899999767542,5220427.406400002539158,-123.349345159999999,42.395623600000000
157 WHISPERING DR,,Other,,157 WHISPERING DRIVE ,157,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{5493FDF5-5373-4303-9C56-5300111B9BAE},,,GPGIS,7/1/2024 18:54:44,157,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731155.255599999800324,5220408.909500002861023,-123.349066350000001,42.395500890000001
142 WHISPERING DR,,Other,,142 WHISPERING DRIVE ,142,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{6C196CD5-97AC-4A8A-AC9F-9AA777C29A20},,,GPGIS,7/1/2024 18:54:44,142,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731079.568199999630451,5220416.866999998688698,-123.348386439999999,42.395553679999999
126 WHISPERING DR,,Other,,126 WHISPERING DRIVE ,126,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{6EEB4F54-8D23-4F84-BF09-D66E85E8F9BB},,,GPGIS,7/1/2024 18:54:44,126,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731040.492200000211596,5220396.678000003099442,-123.348035409999994,42.395419740000001
149 WHISPERING DR,,Other,,149 WHISPERING DRIVE ,149,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{B4A289AB-AA0A-47F4-8303-E41E63B3C491},,,GPGIS,7/1/2024 18:54:44,149,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731139.493799999356270,5220398.500399999320507,-123.348924760000003,42.395431830000000
102 WHISPERING DR,,Other,,102 WHISPERING DRIVE ,102,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{3CEB12DF-9719-4E93-8C52-50A7A238C66A},,,GPGIS,7/1/2024 18:54:44,102,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731000.773499999195337,5220390.015799999237061,-123.347678610000003,42.395375540000003
141 WHISPERING DR,,Other,,141 WHISPERING DRIVE ,141,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{00BF15EA-2269-4BFD-9209-86CA3DB3B432},,,GPGIS,7/1/2024 18:54:44,141,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731108.647199999541044,5220374.965099997818470,-123.348647659999997,42.395275689999998
133 WHISPERING DR,,Other,,133 WHISPERING DRIVE ,133,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{22A08AAC-4C07-4552-997C-EBD626B44052},,,GPGIS,7/1/2024 18:54:44,133,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731085.206500001251698,5220363.751400001347065,-123.348437090000004,42.395201299999997
125 WHISPERING DR,,Other,,125 WHISPERING DRIVE ,125,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{0EA67564-9EA4-4E84-AE22-6C4A0CBAA42C},,,GPGIS,7/1/2024 18:54:44,125,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731057.178700000047684,5220342.287199996411800,-123.348185310000005,42.395058900000002
117 WHISPERING DR,,Other,,117 WHISPERING DRIVE ,117,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{F2CCFC23-496E-404C-9AAA-0D9DC509359C},,,GPGIS,7/1/2024 18:54:44,117,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731041.758700000122190,5220319.916900001466274,-123.348046789999998,42.394910500000002
101 WHISPERING DR,,Other,,101 WHISPERING DRIVE ,101,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{A25265D2-DA2B-454F-A20F-95B712AEBAEE},,,GPGIS,7/1/2024 18:54:44,101,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730994.751600001007318,5220348.740599997341633,-123.347624519999997,42.395101720000000
151 ARROYO DR,,Other,,151 ARROYO DRIVE ,151,,,,,,,ARROYO,DRIVE,DR,,,,,97527,,{37AC112D-C849-4B20-891B-93F8AD42BA22},,,GPGIS,7/1/2024 18:54:44,151,ARROYO DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731096.575600000098348,5220512.494099996984005,-123.348539220000006,42.396188080000002
158 WHISPERING DR,,Other,,158 WHISPERING DRIVE ,158,,,,,,,WHISPERING,DRIVE,DR,,,,,97527,,{F0603357-803B-4A0F-BC33-980C8E290C1A},,,GPGIS,7/1/2024 18:54:44,158,WHISPERING DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731115.660900000482798,5220460.196299999952316,-123.348710659999995,42.395841130000001
3359 BENNETT LN,,Other,,3359 BENNETT LANE ,3359,,,,,,,BENNETT,LANE,LN,,,,,97527,,{C02FFE88-1D7E-4186-925C-1A794CE7E7EF},,,GPGIS,7/1/2024 18:54:44,3359,BENNETT LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731003.846799999475479,5220462.847300000488758,-123.347706220000006,42.395858720000000
3367 BENNETT LN,,Other,,3367 BENNETT LANE ,3367,,,,,,,BENNETT,LANE,LN,,,,,97527,,{F6A3CEDE-5905-48BF-B8AF-E5C1E05B40B6},,,GPGIS,7/1/2024 18:54:44,3367,BENNETT LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13731003.171399999409914,5220433.209299996495247,-123.347700149999994,42.395662090000002
150 TWISTED PINE DR,,Other,,150 TWISTED PINE DRIVE ,150,,,,,,,TWISTED PINE,DRIVE,DR,,,,,97527,,{6898008A-41CA-47C9-8357-A4343AE68A0F},,,GPGIS,7/1/2024 18:54:44,150,TWISTED PINE DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730724.153400000184774,5219937.431100003421307,-123.345193690000002,42.392372960000003
246 TWISTED PINE DR,,Other,,246 TWISTED PINE DRIVE ,246,,,,,,,TWISTED PINE,DRIVE,DR,,,,,97527,,{34D73199-5338-49B6-9432-F25AADF713E2},,,GPGIS,7/1/2024 18:54:44,246,TWISTED PINE DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730631.234999999403954,5220117.942400000989437,-123.344358990000003,42.393570539999999
249 TWISTED PINE DR,,Other,,249 TWISTED PINE DRIVE ,249,,,,,,,TWISTED PINE,DRIVE,DR,,,,,97527,,{C4F33713-3DE3-435F-80BE-A004F85ACECE},,,GPGIS,7/1/2024 18:54:44,249,TWISTED PINE DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730603.320900000631809,5220124.611000001430511,-123.344108230000003,42.393614780000000
236 TWISTED PINE DR,,Other,,236 TWISTED PINE DRIVE ,236,,,,,,,TWISTED PINE,DRIVE,DR,,,,,97527,,{69B26957-1905-45E3-B8A8-95F5DAF771FA},,,GPGIS,7/1/2024 18:54:44,236,TWISTED PINE DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730649.836100000888109,5220088.591399997472763,-123.344526090000002,42.393375820000003
216 TWISTED PINE DR,,Other,,216 TWISTED PINE DRIVE ,216,,,,,,,TWISTED PINE,DRIVE,DR,,,,,97527,,{6056C604-5791-4F0B-A839-9EBBC23888C5},,,GPGIS,7/1/2024 18:54:44,216,TWISTED PINE DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730657.384600000455976,5220052.008699998259544,-123.344593900000007,42.393133120000002
165 BLACK OAK DR,,Other,,165 BLACK OAK DRIVE ,165,,,,,,,BLACK OAK,DRIVE,DR,,,,,97527,,{91D61769-B0F5-480C-BACC-17DB0327AAF6},,,GPGIS,7/1/2024 18:54:44,165,BLACK OAK DRIVE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13730657.827399998903275,5219970.722900003194809,-123.344597870000001,42.392593830000003
1405 PLAYFORD LN,,Other,,1405 PLAYFORD LANE ,1405,,,,,,,PLAYFORD,LANE,LN,,,,,97527,,{A9950296-143D-473D-8EAD-49A63F344101},,,GPGIS,7/1/2024 18:54:44,1405,PLAYFORD LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13728280.053700000047684,5224928.423100002110004,-123.323237969999994,42.425476779999997
1410 PLAYFORD LN,,Other,,1410 PLAYFORD LANE ,1410,,,,,,,PLAYFORD,LANE,LN,,,,,97527,,{58221728-DC7D-4470-92A4-22B3E8FF09F6},,,GPGIS,7/1/2024 18:54:44,1410,PLAYFORD LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13728315.058299999684095,5224907.409800000488758,-123.323552419999999,42.425337440000000
1409 PLAYFORD LN,,Other,,1409 PLAYFORD LANE ,1409,,,,,,,PLAYFORD,LANE,LN,,,,,97527,,{1739833F-E8A0-4661-8FDE-AAADEF2C0EDD},,,GPGIS,7/1/2024 18:54:44,1409,PLAYFORD LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13728278.223899999633431,5224902.556900002062321,-123.323221529999998,42.425305260000002
