LICENSENUMBER,ContactName,CompanyName,DBA,NumberOfEmployees,Location,CodeNumber,BusinessType,BUSINESSPHONE,OpenedDate,BLGLOBALENTITYEXTENSIONID,situs_addressline1,situs_addressline2,situs_addressline3,situs_predirection,situs_streettype,situs_postdirection,situs_unitorsuite,situs_city,situs_state,situs_postalcode,mailing_addressline1,mailing_addressline2,mailing_addressline3,mailing_predirection,mailing_streettype,mailing_postdirection,mailing_unitorsuite,mailing_city,mailing_state,mailing_postalcode,ISSUEDDATE,EXPIRATIONDATE
BTAX-043092-04-2026,JEFF KRULL,ALL SEASONS HEATING & AIR COND,,5,Inside City Limits,238220,Contractor-HVAC Services,5414798777,1/1/1997 0:00,E6A0E23D-239A-45E1-94B5-7FE8D4DA2175,2001,FOOTHILL,,,BLVD,,E12,GRANTS PASS,OR,97526,2001,FOOTHILL,,NE,BLVD,,E12,GRANTS PASS,OR,97526,4/7/2026 9:52,4/30/2027 9:52
BTAX-043093-04-2026,WENDELL HEIDINGER MD,"OPTIMAL HEALTH OF SOUTHERN OREGON, LLC",,9,Inside City Limits,621111,Medical-Physician,5415071948,4/19/2018 0:00,d888df52-42f9-46c6-a60c-49a9b9651020,1600,6TH,,NW,ST,, ,GRANTS PASS,OR,97526,1600,6TH,,NW,ST,,SOUTH STE,GRANTS PASS,OR,97526,4/7/2026 10:02,4/30/2027 10:02
BTAX-043095-04-2026,DANIEL BOWER,BOWER SPA SERVICE LLC,BOWER SPA SERVICE,2,Inside City Limits,541990,Professional-Misc,5417871191,1/1/2010 0:00,19576559-ce42-4579-8745-278b0bfda3b5,,,,,,,,,,,1191,GARDEN TERRACE,,,RD,,,GRANTS PASS,OR,97527,4/7/2026 10:09,4/30/2027 10:09
BTAX-043097-04-2026,RORY  MARLER,BULLDOG TOWING,,2,Inside City Limits,488410,Towing,5419559600,10/31/2007 0:00,C9A547AE-BCDA-47D3-A1C1-D692FF42EB45,2847,HIGHLAND,,NW,AVE,, ,GRANTS PASS,OR,97526,2847,HIGHLAND ,,NW,AVE,,,GRANTS PASS,OR,97526,4/7/2026 10:21,4/30/2027 10:21
BTAX-043101-04-2026,KATHLEEN KROHN,DOORWAY OF HOPE,WELLNESS CONSULTANT,1,Inside City Limits,541611,Consulting Service,7074980663,2/1/2023 0:00,29b5f5a3-0249-4dcf-93d2-31b86667e07e,2106,BRIDGE,,SW,ST,,,GRANTS PASS,OR,97526,2106,BRIDGE,,SW,ST,,,GRANTS PASS,OR,97526,4/8/2026 12:14,4/30/2027 12:14
BTAX-043102-04-2026,MARLA KASDORF,KASDORF AND ASSOCIATES LLC,,2,Inside City Limits,524210,Insurance Agency & Brokerages,5412950777,3/27/2019 0:00,3b13db6f-1f96-46d1-9328-6e7f4a22a1a5,336,SHETLAND,, ,DR,,,GRANTS PASS,OR,97526,336,SHETLAND,,,DR,,,GRANTS PASS,OR,97526,4/8/2026 12:36,4/30/2027 12:36
BTAX-043104-04-2026,TRACI PRIEBS,ELEGANCE II LLC,,2,Inside City Limits,459510,Retail-Thrift Store,5414760570,5/9/2017 0:00,1d8fa864-4364-4b46-ba29-5e15adff9f18,331,6TH,,SE,ST,, ,GRANTS PASS,OR,97526,331,6TH,,SE,ST,,,GRANTS PASS,OR,97526,4/8/2026 12:58,4/30/2027 12:58
BTAX-043112-04-2026,JOCELYN SCHMIDT,TRAINING WITH JOCELYN LLC,,1,Inside City Limits,711120,Dance Studio,5414412652,4/5/2021 0:00,81704571-062e-4f47-ad4e-813080e76b4f,,,,,,,,,,,1107,PINNON,,N,RD,,,GRANTS PASS,OR,97526,4/9/2026 14:27,4/30/2027 14:27
BTAX-043113-04-2026,ANDREA URIAS,ESSENTIAL MOBILE BODYWORKS BY ANDREA URIAS,,1,Inside City Limits,621399,Medical-Massage Therapy,5414411416,5/7/2017 0:00,707584c9-7f7f-4400-af75-8be5f50a35b2,3144,MIDWAY,,,AVE,,,GRANTS PASS,OR,97527,3144,MIDWAY,,,AVE,,,GRANTS PASS,OR,97527,4/9/2026 14:57,4/30/2027 14:57
BTAX-043118-04-2026,JACOB CRUZ,CRUZ BROS. CONSTRUCTION,,1,Outside City Limits,238190,Contractor-General/Building Exterior,5412954475,1/12/2021 0:00,c62b15e7-2752-4e53-96d4-1cfd68631206,,,,,,,,,,,1000,PECO,,,RD,,,GRANTS PASS,OR,97526,4/14/2026 9:49,4/30/2027 9:49
BTAX-043120-04-2026,TANNER BARRATT,PREMIER CARE DENTAL           ,,8,Inside City Limits,621210,Medical-Dentist,5415075330,5/1/2016 0:00,F280DAFA-3DC1-427D-AAD9-7D2C616DEB3A,824,A,,NE,ST,,,GRANTS PASS,OR,97526,1873,WILLIAMS,,,HWY,,1-A,GRANTS PASS,OR,97527,4/14/2026 10:30,3/31/2027 10:30
BTAX-043122-04-2026,PHILIP DAVIS,808 OHANA GRINDZ,,6,Inside City Limits,722320,Caterer,8082124484,10/3/2018 0:00,f17764b5-6377-4019-9ade-5d1c8d5ec8bf,543,E,,NE,ST,, ,GRANTS PASS,OR,97526,543,E,,NE,ST,,,GRANTS PASS,OR,97526,4/14/2026 11:11,3/31/2027 11:11
BTAX-043123-04-2026,TRAVIS OSBORNE,RELENTLESS ATHLETIC PERFORMANCE,,1,Inside City Limits,713940,Fitness Center,5416598582,4/17/2018 0:00,9c21f45f-ff69-435b-8185-95c901fb1cbc,2163,SPALDING,,NE,AVE,,#14,GRANTS PASS,OR,97526,245,BLUEBELL,,,LN,,,GRANTS PASS,OR,97527,4/14/2026 11:37,4/30/2027 11:37
BTAX-043125-04-2026,JON CHAMBERS,SOUTHERN OREGON HBOT,,4,Inside City Limits,621111,Medical-Physician,5414791289,4/1/2021 0:00,fdbd104d-87b3-4a73-bdac-ee89624f3840,1663,WILLIAMS,, ,HWY,, ,GRANTS PASS,OR,97527,1663,WILLIAMS,,,HWY,,,GRANTS PASS,OR,97527,4/14/2026 11:50,4/30/2027 11:50
BTAX-043126-04-2026,TERESA  EPLETT,ASTORIA DENTURE CLINIC        ,,2,Inside City Limits,621210,Medical-Dentist,5414797199,1/1/1997 0:00,0BB43B92-A8AB-443A-8C3C-5914417EB7BD,822,E,,NE,ST,,B,GRANTS PASS,OR,97526,822,E,,NE,ST,,SUITE B,GRANTS PASS,OR,97526,4/14/2026 11:53,3/31/2027 11:53
BTAX-043127-04-2026,KALI BARNHART,KALIKAT CREATIONS,,1,Inside City Limits,541890,Advertising Services,7074992334,9/9/2020 0:00,f943aea4-cd91-4d46-9caf-8f5f89b88739,606,WESTHOLM,,SW,AVE,,,GRANTS PASS,OR,97526,606,WESTHOLM,,SW,AVE,,,GRANTS PASS,OR,97526,4/14/2026 11:57,4/30/2027 11:57
BTAX-043132-04-2026,MORGAN WOLFE,WIGGLE BUMS DOG GROOMING,,2,Inside City Limits,812910,Pet Care Services,,3/8/2021 0:00,16f51952-620f-4e01-a04b-631ffd8b9f3a,1370,ROGUE RIVER,,,HWY,,STE 2,GRANTS PASS,OR,97527,1370,ROGUE RIVER,,,HWY,,STE 2,GRANTS PASS,OR,97527,4/14/2026 14:22,4/30/2027 14:22
BTAX-043133-04-2026,JEFF HOXSEY,EARY EARTHWORKS LLC,,3,Outside City Limits,238910,Excavation - Site Preparation,5419446524,1/1/2021 0:00,b5dde503-09f6-4b57-8222-47192f0c0722,,,,,,,,,,,17450,APPLEGATE,,N,RD,,,GRANTS PASS,OR,97527,4/14/2026 14:28,4/30/2027 14:28
BTAX-043142-04-2026,WILLIAM VEADER,CUT THROAT INK,,3,Inside City Limits,812199,Tattoo/Piercing Shop,5412268121,4/1/2021 0:00,eedfb29a-f5cf-4894-bb90-ff6c9a9ea6b9,1330,6TH,,NW,ST,, ,GRANTS PASS,OR,97526,419,E,,NW,ST,,,GRANTS PASS,OR,97526,4/14/2026 16:13,4/30/2027 16:13
BTAX-043144-04-2026,,ORTHOPEDIC MEDICAL MASSAGE LLC,,1,Inside City Limits,621399,Medical-Massage Therapy,5414411224,11/7/2017 0:00,b10635d8-6e42-435f-9bd4-cbed33d16d98,660,ROGUE RIVER,,,HWY,,400,GRANTS PASS,OR,97527,660,ROGUE RIVER,,,HWY,,400,GRANTS PASS,OR,97527,4/15/2026 9:47,4/30/2027 9:47
BTAX-043145-04-2026,MATTHEW  JORDAN,JORDAN'S                      ,,15,Inside City Limits,459130,Retail-Fabric Shop,5414760214,11/8/1995 0:00,F400457E-D949-41F0-A9D0-4069CE58620C,1590,7TH,,NE,ST,,,GRANTS PASS,OR,97526,370,PAULDINE,,,WAY,,,GRANTS PASS,OR,97527,4/15/2026 9:55,4/30/2027 9:55
BTAX-043146-04-2026,JAMIE HERKLOTZ,THE OPAL HOUSE LLC,THE OPAL HOUSE,1,Inside City Limits,812112,Beauty Salon,5416604779,5/5/2023 0:00,3f9d2210-98b8-4207-b48c-55e51eb5f10b,401,6TH,,SE,ST,,,GRANTS PASS,OR,97526,751,11TH,,NE,ST,,,GRANTS PASS,OR,97526,4/15/2026 10:04,4/30/2027 10:04
BTAX-043147-04-2026,CHARLES PURDEY,PURDEY ELECTRIC LLC,,4,Outside City Limits,238210,Contractor-Electrical,5417618198,3/3/2023 0:00,841985cf-25fa-4a70-b79a-9756911d26ad,,,,,,,,,,,3044,HELGESON,,,LN,,,GRANTS PASS,OR,97527,4/15/2026 10:06,3/31/2027 10:06
BTAX-043153-04-2026,DUSTIN RAMSEY,SR LAWN SPECIALISTS,,4,Inside City Limits,541320,Landscaping Services,5412950064,1/1/2020 0:00,658cc463-4ed3-4bc3-8a20-8b2a75349b2f,,,,,,,,,,,1363,STAR,,,CT,,,GRANTS PASS,OR,97527,4/16/2026 12:18,4/30/2027 12:18
BTAX-043154-04-2026,WILLIAM MOSS JR,T & S TRANSMISSION SPECIALISTS,,2,Inside City Limits,811114,Auto-Transmission Repair,5412958838,4/11/2018 0:00,dbb4e8b6-234f-4605-bad0-d74bba0375a3,1496,ROGUE RIVER,, ,HWY,, ,GRANTS PASS,OR,97527,1496,ROGUE RIVER,,,HWY,,,GRANTS PASS,OR,97527,4/16/2026 13:00,4/30/2027 13:00
BTAX-043161-04-2026,"DAVID  RAY, DC, FNP",DAVERA CORP,REDWOOD FAMILY PRACTICE,5,Inside City Limits,621111,Medical-Physician,5414745665,1/1/2020 0:00,86cf6a51-8ab3-463a-8fef-a5a51737bd08,214,OUTLOOK,,NE,AVE,,,GRANTS PASS,OR,97526,214,OUTLOOK,,NE,AVE,,,GRANTS PASS,OR,97526,4/17/2026 12:12,4/30/2027 12:12
BTAX-043162-04-2026,NIKLAUS SPENDLOVE,"SPENDLOVE DENTAL, PC",,7,Inside City Limits,621210,Medical-Dentist,5414764667,4/20/2022 0:00,03b1a91f-65cc-40cb-a846-11fc97f55ed5,1100,7TH,,NE,ST,, B,GRANTS PASS,OR,97526,1100,7TH,,NE,ST,,B,GRANTS PASS,OR,97526,4/17/2026 12:14,4/30/2027 12:14
BTAX-043163-04-2026,SHIRLEY ROBERTS,"ROBERTS & ASSOCIATES, LLC.",SHIRLEY A ROBERTS INSURANCE AGENCY,1,Inside City Limits,524210,Insurance Agency & Brokerages,5414729019,12/1/2013 0:00,c1ad4829-d01c-428b-bd4c-0d2229c64121,1652,WILLIAMS,,,Hwy,,,GRANTS PASS,OR,97527,1652,WILLIAMS,,,HWY,,,GRANTS PASS,OR,97527,4/17/2026 12:21,4/30/2027 12:21
BTAX-043168-04-2026,CHRISTOPHER ROBINSON,GENTS ONLY BARBER SHOP,,1,Inside City Limits,812111,Barber Shop,2069995162,4/16/2021 0:00,f6f86781-b667-430f-ae00-ba385d24ccdc,1470,DAVID,,SW,DR,,,GRANTS PASS,OR,97527,1470,DAVID,,SW,DR,,,GRANTS PASS,OR,97527,4/20/2026 11:36,4/30/2027 11:36
BTAX-043169-04-2026,STEPHEN EDWARDS,GRANTS PASS PAINTING LLC,,8,Inside City Limits,238320,Painting & Wall Covering,5419558888,4/1/2022 0:00,bb85d325-9969-48cb-bde9-97a10f0e8506,,,,,,,,,,,855,BAILEY,,,DR,,,GRANTS PASS,OR,97527,4/20/2026 11:40,4/30/2027 11:40
BTAX-043172-04-2026,JASON SCHMIDT,ROGUE HANDYMAN SERVICES,,1,Outside City Limits,236220,Handyman,5415269150,4/1/2022 0:00,882aa18d-a2e4-4a1e-9dd3-15dac50a4b7f,,,,,,,,,,,PO BOX 582,,,,,,,GRANTS PASS,OR,97528,4/20/2026 12:09,4/30/2027 12:09
BTAX-043173-04-2026,CARMIN AYALA,AVERY'S HEATING AND COOLING,,1,Inside City Limits,238220,Contractor-HVAC Services,5417785043,1/7/2022 0:00,f7e3c981-d9d8-46cf-be6f-0fdf2486c79b,,,,,,,,,,,950,11TH,,NE,ST,,,GRANTS PASS,OR,97526,4/20/2026 12:17,3/31/2027 12:17
BTAX-043185-04-2026,,BOOTH STREET THRIFT STORE,,11,Inside City Limits,459510,Retail-Thrift Store,5414760082,3/26/2018 0:00,1fb52522-3fea-481e-ad20-3dba1885fe33,114,BOOTH,,SW,ST,, ,GRANTS PASS,OR,97526,PO BOX 190,,,,,,,GRANTS PASS,OR,97528,4/22/2026 10:24,4/30/2027 10:24
BTAX-043186-04-2026,STEVE  SCRUGGS,PACIFIC NORTHWEST MEDICAL TRAINING SERVICES LLC,,1,Inside City Limits,541990,Professional-Misc,5412189922,4/23/2003 0:00,79C0CC43-E604-43E4-8EA0-55E5C691FD9B,980,6TH,,SW,ST,,16,GRANTS PASS,OR,97526,2178,HAWTHORNE,,NW,AVE,,,GRANTS PASS,OR,97526,4/22/2026 10:49,1/31/2027 10:49
BTAX-043190-04-2026,JENNIFER GODFREY,SOUTHPAW TATTOO PARLOR LLC,SOUTHPAW TATTOO PARLOR,5,Inside City Limits,812199,Tattoo/Piercing Shop,5416596614,1/28/2019 0:00,d32efa94-3a41-4ae1-8c78-ae1b400f273f,914,6TH,,SW,ST,,#A,GRANTS PASS,OR,97526,914,6TH,,SW,ST,,#A,GRANTS PASS,OR,97526,4/23/2026 12:12,4/30/2027 12:12
BTAX-043191-04-2026,KARLA STEPHENS,KARMA HAIR AND SKIN,,1,Inside City Limits,812112,Beauty Salon,5417271871,1/27/2021 0:00,4f93354a-447c-4b04-bb4b-6d501ba25486,1837,NEBRASKA,,,AVE,,,GRANTS PASS,OR,97527,1837,NEBRASKA,,,AVE,,,GRANTS PASS,OR,97527,4/24/2026 14:41,4/30/2027 14:41
BTAX-043198-04-2026,MORGAN SCHOMMER,INTEGRITY HEATING AND COOLING SERVICES LLC,,2,Inside City Limits,238220,Contractor-HVAC Services,5414156870,1/23/2024 0:00,b8d67965-a46b-4fba-89af-46ebca287173,1255,PLUMMER,,,AVE,,,GRANTS PASS,OR,97527,1255,PLUMMER,,,AVE,,,GRANTS PASS,OR,97527,4/27/2026 11:08,4/30/2027 11:08
BTAX-043199-04-2026,RON GRAHAM,CASPER THE FRIENDLY HANDY MAN,,1,Inside City Limits,236220,Handyman,5412261616,2/13/2019 0:00,c60ef056-ade6-4f21-a36a-b911f480e907,,,,,,,,,,,201,PONDEROSA,,,LN,,,GRANTS PASS,OR,97527,4/27/2026 11:15,4/30/2027 11:15
BTAX-043202-04-2026,,,,1,Outside City Limits,238190,Contractor-General/Building Exterior,(541) 659-8240,11/22/2022 0:00,0e329b59-98fe-4458-8c5f-89690260d243,,,,,,,,,,,269,MOREWOOD,,,LN,,,GRANTS PASS,OR,97526,4/27/2026 11:31,4/30/2027 11:31
BTAX-043207-04-2026,TERENCE DALEY NATHAN DALEY,DALEY YARD MAINTENANCE LLC,,2,Outside City Limits,561730,Yard Services,5416605409,11/8/2016 0:00,3629354e-bdfa-42d9-ab6c-e1a123921b78,,,,,,,,,,,112,PENNY,,,LN,,,GRANTS PASS,OR,97527,4/28/2026 9:47,4/30/2027 9:47
BTAX-043209-04-2026,DEVIN KRUSE,FIRST CLASS LIGHTS LLC,,2,Inside City Limits,236220,Handyman,5412189744,11/15/2021 0:00,f21c095b-cd38-42d5-bc69-30ef94d23f59,,,,,,,,,,,PO BOX 2343,,,,,,,GRANTS PASS,OR,97527,4/28/2026 11:19,4/30/2027 11:19
BTAX-043210-04-2026,DEVIN KRUSE,FIRST CLASS YARDS LLC,,3,Inside City Limits,561730,Yard Services,5412189744,7/30/2021 0:00,b72a4901-6fac-407f-94c9-ddf67fc9718a,,,,,,,,,,,379,SLEEPY HOLLOW,,,LOOP,,,GRANTS PASS,OR,97527,4/28/2026 11:34,4/30/2027 11:34
BTAX-043215-04-2026,HEANG  PHAY,DONUTLAND                     ,,4,Inside City Limits,311811,Bakery,5412262180,6/26/1993 0:00,635719DA-16A2-4AB7-B38C-3B9E706F8536,75,FRUITDALE,,,DR,,,GRANTS PASS,OR,97527,75,FRUITDALE,,,DR,,,GRANTS PASS,OR,97527,4/29/2026 10:33,4/30/2027 10:33
BTAX-043216-04-2026,ZACHARY FERNANDEZ,HOUSE OF GLORY LLC,,5,Inside City Limits,722513,Limited-Service Restaurant,3054019269,7/27/2021 0:00,19a94f8b-0585-4b66-9734-9933ab90966d,115,G,,SW,ST,, ,GRANTS PASS,OR,97526,115,G,,SW,ST,,,GRANTS PASS,OR,97526,4/29/2026 10:40,4/30/2027 10:40
BTAX-043217-04-2026,NICOLE FLEMING,FLESPY'S BAR & GRILL LLC,,10,Inside City Limits,722410,Bar/Tavern,5416595165,1/28/2019 0:00,419f2dba-0f1a-4ba8-b608-aef5ac3fd5d5,670,FRUITDALE,, ,DR,, ,GRANTS PASS,OR,97527,313,EAGLE RIDGE,,,DR,,,GRANTS PASS,OR,97526,4/29/2026 10:43,4/30/2027 10:43
BTAX-043218-04-2026,PEDRO PEREZ ALVAREZ SUSANA RODRIGUEZ,MALECON GRILL AND CANTINA LLC,MALECON GRILL AND CANTINA,2,Inside City Limits,722511,Restaurant,5419555292,2/23/2023 0:00,58589af4-dde7-4865-a828-893f9574e64a,1305,6TH,,NE,ST,,,GRANTS PASS,OR,97526,1305,6TH,,NE,ST,,,GRANTS PASS,OR,97526,4/29/2026 13:38,4/30/2027 13:38
BTAX-043220-04-2026,CLINT FITZGERALD,CLINT FITZGERALD,IMMORTAL APPLIANCE REPAIR,1,Inside City Limits,811412,Appliance Reapair/Maint,5419162330,2/22/2022 0:00,22e47043-f69f-4fa6-b624-15fe5c06f013,224,GORDON,,S,WAY,,,GRANTS PASS,OR,97527,1119,C,,NW,ST,,APT. A,GRANTS PASS,OR,97526,4/30/2026 11:28,4/30/2027 11:28
BTAX-043221-04-2026,MORGAN WINEGARDEN,MORGAN WINEGARDEN LMT,,1,Inside City Limits,621399,Medical-Massage Therapy,5416611938,3/17/2022 0:00,15b920bd-e916-423e-a358-5e39cb1cf48e,1718,FOOTHILL,,NE,BLVD,,,GRANTS PASS,OR,97526,1718,FOOTHILL,,NE,BLVD,,,GRANTS PASS,OR,97526,4/30/2026 11:52,4/30/2027 11:52
BTAX-043224-05-2026,RAYMOND MATTHEWS,CHUCK'S ROOFING AND CONSTRUCTION,,4,Inside City Limits,238160,Roofing,5414798789,8/5/1990 0:00,F496F344-8B0E-431A-BAC4-77CC6FDBFCF1,1980,JONES CREEK,,W,RD,, ,GRANTS PASS,OR,97526,1980,JONES CREEK,,W,RD,,,GRANTS PASS,OR,97526,5/1/2026 12:59,4/30/2027 12:59
BTAX-043229-05-2026,PEDRO GONZALEZ,CHAPARRO,,1,Inside City Limits,561720,Cleaning Service,5414417319,7/26/2021 0:00,59eff51b-0c20-43c0-bed4-48caaab52785,,,,,,,,,,,1471,COMET,,,CT,,,GRANTS PASS,OR,97527,5/5/2026 9:43,5/31/2027 9:43
BTAX-043230-05-2026,ALEXANDER ALBRIGHT,J & L MOTORHOUSE LLC,,2,Inside City Limits,441120,Auto-Used Car Dealer,5416592390,10/20/2020 0:00,698ea322-6e9a-4d12-96e9-35ac08e2f596,600,7TH,,SE,ST,,,GRANTS PASS,OR,97526,235,BARBARA,,,DR,,,GRANTS PASS,OR,97526,5/5/2026 10:19,5/31/2027 10:19
BTAX-043236-05-2026,HEIDI PHILLIPS,TIERRA DEL SOL IMPORTS        ,,2,Inside City Limits,458310,Retail-General Merchandise ,5414762622,4/24/1997 0:00,FC5EB99A-1BD2-49BA-828D-330F33E0F309,129,G,,SW,ST,, ,GRANTS PASS,OR,97526,129,G,,SW,ST,,,GRANTS PASS,OR,97526,5/6/2026 9:49,3/31/2027 9:49
BTAX-043238-05-2026,JESSICA CUNNINGHAM,HANDPRINTS LLC,HANDPRINTS,2,Inside City Limits,459410,Retail-Misc Direct Selling Establishment,5127748132,6/11/2023 0:00,a950ead7-19c1-489f-9f4f-2edaf0c33d59,,,,,,,,,,,620,6TH,,SW,ST,,,GRANTS PASS,OR,97526,5/6/2026 10:01,5/31/2027 10:01
BTAX-043239-05-2026,DEBORAH FRASZER,THE HANGRY HOUSE LLC,,2,Inside City Limits,722330,Food-Mobile/Ice Cream Truck,,5/9/2022 0:00,3466f03d-ff7b-4b5e-8b79-25534401f7c5,,,,,,,,,,,915,SAVAGE,,NE,ST,,,GRANTS PASS,OR,97526,5/6/2026 10:07,5/31/2027 10:07
BTAX-043240-05-2026,DOMINIC  DE BENEDETTI,DEBENEDETTI CONSTRUCTION ,,1,Inside City Limits,238190,Contractor-General/Building Exterior,5416600710,8/13/1992 0:00,A6B5F108-23F2-4852-B741-3BBAD6DED3DB,,,,,,,,,,,184,RUBY,,,DR,,,GRANTS PASS,OR,97527,5/6/2026 10:14,5/31/2027 10:14
BTAX-043242-05-2026,RAFAEL  LOZANO,LOZANO LANDSCAPE MAINTENANCE  ,,2,Inside City Limits,541320,Landscaping Services,5412911284,9/20/2011 0:00,3CFD2703-3D6C-4937-A624-4F7DCE26DEFD,630,SUNSET,, ,WAY,, ,GRANTS PASS,OR,97527,630,SUNSET,,,WAY,,,GRANTS PASS,OR,97527,5/6/2026 13:48,5/31/2027 13:48
BTAX-043245-05-2026,CRISTIE BOTTORFF,CRISTIES HOME HEALTH HYGIENE PLUS,,1,Inside City Limits,561720,Cleaning Service,5416601985,3/15/2021 0:00,4f2fd519-20f0-4002-a54b-9de12cbcdd8d,,,,,,,,,,,2652,WINONA ,,,RD,,,GRANTS PASS,OR,97526,5/7/2026 12:16,5/31/2027 12:16
BTAX-043247-05-2026,JEREMIAH ROSSI,BLUE FLAME FABRICATION,,2,Inside City Limits,238190,Welding/Fabrication,5417612074,4/4/2019 0:00,9dd2c520-45b1-4d72-8468-8d7e189316ba,,,,,,,,,,,5821,CLOVERLAWN,,,DR,,,GRANTS PASS,OR,97527,5/7/2026 12:57,5/31/2027 12:57
BTAX-043254-05-2026,SUZANNE ROSA,CLOUD 9 MASSAGE,,1,Inside City Limits,621399,Medical-Massage Therapy,5417780336,1/5/2018 0:00,66006b6d-dd4d-47f5-9eed-9d6669d49ffd,432,6TH,,NW,ST,, ,GRANTS PASS,OR,97526,100,BRENTWOOD,,,DR,,,GRANTS PASS,OR,97526,5/8/2026 12:29,5/31/2027 12:29
BTAX-043255-05-2026,"RICHARD ""RJ"" ACOSTA",GET BLESSED ENTERPRISES LLC,GET BLESSED CONSTRUCTION,3,Outside City Limits,238190,Contractor-General/Building Exterior,5412267520,2/16/2022 0:00,0302c1a0-3725-47ee-a963-0877a747f634,,,,,,,,,,,273,HILLVIEW,,,DR,,,GRANTS PASS,OR,97527,5/8/2026 12:33,5/31/2027 12:33
BTAX-043256-05-2026,AMANDA SLOAN,"AMANDA E. SLOAN, LCSW",,1,Inside City Limits,624190,Social Svcs-Individual & Family Svcs,5414761900,1/1/2018 0:00,c1cb71d1-308c-4b44-899d-c498e4a1a58c,777,7TH,,NE,ST,,220,GRANTS PASS,OR,97526,777,7TH,,NE,ST,,220,GRANTS PASS,OR,97526,5/8/2026 12:40,5/31/2027 12:40
BTAX-043258-05-2026,ERIC LOSOYA,CASABLANCA GRILL INC,CASABLANCA COFFEE & GRILL,33,Inside City Limits,722511,Restaurant,5414792503,5/1/2022 0:00,7d1068b1-f41a-4cdb-99c3-f34804c9b975,412,6TH,,NW,ST,,,GRANTS PASS,OR,97526,686,UNION,,,AVE,,,GRANTS PASS,OR,97527,5/8/2026 12:50,5/31/2027 12:50
BTAX-043259-05-2026,MAX  MCEVOY,ALL PURPOSE LANDSCAPE MAINTENANCE,,1,Inside City Limits,541320,Landscaping Services,5416594114,1/22/2008 0:00,22450C80-7E1B-4F01-8417-4BC1D33DE013,,,,,,,,,,,1903,JONES CREEK    ,,W,CR,,,GRANTS PASS,OR,97526,5/8/2026 13:53,5/31/2027 13:53
BTAX-043261-05-2026,VALERIE BLACKWOOD,VAL'S ICE CREAM LLC,,1,Inside City Limits,722330,Food-Mobile/Ice Cream Truck,5419734723,4/9/2018 0:00,135d0e9a-304d-4b6d-8f86-b9e12655fb24,,,,,,,,,,,931,FERN,,SE,ST,,,GRANTS PASS,OR,97526,5/8/2026 15:42,5/31/2027 15:42
BTAX-043262-05-2026,SKYLER CALDERON,CLASSICS BARBERSHOP,,1,Inside City Limits,812111,Barber Shop,5414741004,3/9/2022 0:00,58190fd9-36d8-4bd9-8c50-e9023c1a3484,323,H,,SW,ST,, ,GRANTS PASS,OR,97526,1225,RIVER,,,LN,,,GRANTS PASS,OR,97526,5/12/2026 8:26,5/31/2027 8:26
BTAX-043267-05-2026,RICHARD BALDWIN,RGB INC,STREAMLINE AUTO & EXHAUST,3,Inside City Limits,811111,Auto-General Repair,5419414622,5/16/2018 0:00,4618a26a-d4fd-4586-8b69-31d4be631029,502,I,,SE,ST,, ,GRANTS PASS,OR,97526,502,I,,SE,ST,,,GRANTS PASS,OR,97526,5/12/2026 8:52,5/31/2027 8:52
BTAX-043268-05-2026,BRET  CLARK,ROGUE RIVER BOAT SHOP         ,,1,Inside City Limits,441222,Boat Dealer,5414791504,1/1/1997 0:00,B8443596-322A-4D7E-9F9E-C644BDE3C27B,1815,BRIDGE,,SW,ST,, ,GRANTS PASS,OR,97526,1815,BRIDGE ,,SW,ST,,,GRANTS PASS,OR,97526,5/12/2026 9:02,5/31/2027 9:02
BTAX-043269-05-2026,DAWN  MORTON,THE BOOKIE'S                  ,,4,Inside City Limits,4239,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,5414792987,5/8/2009 0:00,DEE78E8A-4FAD-43F3-96EA-14B3EFDCDF38,1306,G,,SW,ST,, ,GRANTS PASS,OR,97526,PO BOX 1026,,,,,,,GRANTS PASS,OR,97528,5/12/2026 9:19,5/31/2027 9:19
BTAX-043271-05-2026,JAMIE TALARICO,GRIP N GRUB,,1,Inside City Limits,722330,Food-Mobile/Ice Cream Truck,8455514777,6/1/2022 0:00,240415c1-7ef4-498d-bb09-9976058c19b5,123,K,,SE,ST,, ,GRANTS PASS,OR,97526,1946,DOWELL,,,RD,,,GRANTS PASS,OR,97527,5/12/2026 9:26,5/31/2027 9:26
BTAX-043277-05-2026,OLIVER BRAYMAN,BRAYMAN BUILDERS,,1,Inside City Limits,238190,Contractor-General/Building Exterior,5417617135,12/30/2021 0:00,99381687-f868-4a69-a5c5-136baf2eb118,414,MANZANITA,,NW,AVE,,,GRANTS PASS,OR,97526,414,MANZANITA,,NW,AVE,,,GRANTS PASS,OR,97526,5/12/2026 12:33,5/31/2027 12:33
BTAX-043280-05-2026,HEATHER HUCKERT,"META PHYSICAL THERAPY & PILATES, LLC",,1,Inside City Limits,621340,Physical Therapy,5414502724,5/1/2022 0:00,4502b7c9-51f1-4b5d-97f9-2c568881d08a,714,5TH,,NW,ST,, ,GRANTS PASS,OR,97526,714,5TH,,NW,ST,,,GRANTS PASS,OR,97526,5/13/2026 11:10,5/31/2027 11:10
